Quartile Boundaries:
Q1/Q2 boundary (25th percentile): 50.45 %
Q2/Q3 boundary (50th percentile/median): 57.92 %
Q3/Q4 boundary (75th percentile): 70.08 %

Participant Rankings (Best to Worst):
Rank	Participant ID	Overall Accuracy (%)	Overall Correct	Overall Total	Choice1 Accuracy (%)	Choice1 Correct	Choice1 Total	Choice2 Accuracy (%)	Choice2 Correct	Choice2 Total	Quartile
300	503	43.2	54	125	42.86	27	63	43.55	27	62	Bottom Quartile (Q1)
301	358	43.1	50	116	36.67	22	60	50	28	56	Bottom Quartile (Q1)
302	236	42.28	52	123	40.32	25	62	44.26	27	61	Bottom Quartile (Q1)
303	501	42.28	52	123	46.77	29	62	37.7	23	61	Bottom Quartile (Q1)
304	504	42.28	52	123	40	24	60	44.44	28	63	Bottom Quartile (Q1)
305	230	42.2	46	109	43.4	23	53	41.07	23	56	Bottom Quartile (Q1)
306	451	42.15	51	121	50	31	62	33.9	20	59	Bottom Quartile (Q1)
307	296	40.62	52	128	40.62	26	64	40.62	26	64	Bottom Quartile (Q1)
308	13	40.32	50	124	37.7	23	61	42.86	27	63	Bottom Quartile (Q1)
309	434	40.18	45	112	44.83	26	58	35.19	19	54	Bottom Quartile (Q1)
310	467	39.13	45	115	42.11	24	57	36.21	21	58	Bottom Quartile (Q1)
311	533	39.06	50	128	39.06	25	64	39.06	25	64	Bottom Quartile (Q1)
312	112	38.71	48	124	42.62	26	61	34.92	22	63	Bottom Quartile (Q1)
313	26	38.1	48	126	35.48	22	62	40.62	26	64	Bottom Quartile (Q1)
314	266	35.71	45	126	34.92	22	63	36.51	23	63	Bottom Quartile (Q1)
315	354	33.59	43	128	34.38	22	64	32.81	21	64	Bottom Quartile (Q1)
316	207	32.2	38	118	34.43	21	61	29.82	17	57	Bottom Quartile (Q1)
